cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1123,0.0453096485842384,-0.430080662118839,604,451,605,1122,428,1258,-0.864906380807734,-0.501933215117377,0.873406138498899,-0.486992522768514,-0.009775343420393,0.999952220189052
1124,-0.242649138286038,0.403842718937554,684,683,557,627,1096,877,0.0306982177938565,-0.999528698649659,0.865155466932965,0.501503756751636,-0.86344690670643,0.504439728113377
1125,-0.120958910441309,0.403808059601096,680,679,553,1024,1025,1166,0.035700509697541,-0.999362533621976,0.865155466932962,0.50150375675164,-0.883851525262642,0.467767550489451
1126,0.171138215700473,-0.237922186925789,659,523,524,1459,605,1192,0.996676684913775,0.0814591047660609,-0.56357232901841,0.826066722465422,-0.473816542806258,-0.880623576656408
1127,0.1210410057075,-0.40377358535911,728,727,607,1092,926,1146,-0.0388703055802049,0.999244264103678,-0.865155466932961,-0.501503756751642,0.881281549150284,-0.472591611359401
1128,0.3582411352035,0.0423018645306501,997,856,857,1693,1514,1779,-0.399011339320866,-0.916945991372103,0.999425540151792,0.0338908496839353,-0.561798909180021,0.827273827486485
1129,0.385919656635817,0.120995481287271,859,751,752,1332,1071,1545,-0.452457762302163,-0.891785833781026,1.0,-0.0,-0.483824776186196,0.875164890719673
1130,0.403518038151833,0.361481253983144,762,759,642,1594,977,1044,-0.996560915309954,0.082863394068707,0.500121491761688,-0.865955249119759,0.402333119890303,0.915493342760795
1131,0.397704478322839,0.405030641993277,1085,643,536,1439,887,1176,-0.0736397397083476,-0.997284908506936,0.783398868585543,0.621519277817584,-0.873959434493332,0.485998875369167
1132,0.0475373383948034,-0.290047633098969,660,526,527,1383,1101,1488,0.926681292685546,-0.375848083388283,-0.0943674173796587,0.995537438038918,-0.777910091468652,-0.628375595954548
1133,0.121832717238442,-0.26264542435488,1111,525,1067,2017,1879,1570,-0.0215564899337074,0.999767631873396,-0.777397893975989,-0.629009152907728,0.980236797978283,-0.197827753081521
1134,-0.334371523339152,-0.403970786924338,712,592,713,1064,911,1419,-0.835924728183938,-0.548844102464998,0.880463450902483,-0.474114028082793,-0.0002943145895843,0.99999995668946
1135,-0.365607206337089,-0.405002256785422,1084,591,712,1156,1064,2050,-0.802750905167777,-0.596314501125299,0.892445315974006,-0.451155580699226,-0.0887187898608389,0.996056713408242
1136,0.403634640102881,-0.273323549845568,738,621,739,1115,833,1105,0.511478226473047,-0.859296237536268,0.462141938969193,0.886805969897471,-0.99992431644888,-0.0123029010497386
1137,0.361682091699299,-0.403826542751259,735,615,761,990,1164,1421,-0.865519888144616,-0.500874558373783,0.90883198512427,-0.417162345873977,0.090056570284037,0.995936651674531
1138,0.403837441243081,0.0300879213880298,748,631,749,1299,146,1336,0.501503756751621,-0.865155466932973,0.471852478525234,0.881677513895865,-0.999468602914452,-0.0325961928487732
1139,0.308211337301673,0.0016894014455377,881,765,877,1443,1371,1399,-0.623118099423609,0.782127760772311,-0.526383259607888,-0.850247413406577,0.994308221747237,0.106541823552289
1140,-0.387002326350309,-0.21180425700516,814,706,707,1461,1269,453,0.488954700380674,0.872309177399645,-1.0,-1.28230759344204e-14,0.536413323380735,-0.843955417364943
1141,-0.268016764126972,-0.138729927663953,1064,899,1106,1929,2009,2008,-0.965314249874614,-0.26109078687118,0.840843584393869,-0.541278178558558,0.19874460727921,0.980051315532729
1142,-0.0157904791975306,-0.379166227236951,831,830,723,1525,1471,1470,-0.0251706833372164,0.999683168158961,-0.856819243491845,-0.51561689652499,0.866719441395301,-0.498795960195568
1143,-0.0687619071188088,-0.31883794934215,989,661,890,1457,1172,1736,0.827085600680226,-0.562075981649661,0.046208768342607,0.998931804343149,-0.916289244071426,-0.400517192139132
1144,0.273527252279863,0.174851069709219,907,655,895,1656,1625,1950,-0.0964121050172844,0.995341502202202,-0.849280809054182,-0.527941386303701,0.835137204622182,-0.550041679744225
1145,0.251721049460022,0.201670140585492,906,868,655,1741,1086,1656,-0.0936921086181825,0.995601219757529,-0.773494853891773,-0.633802580464094,0.946885456008178,-0.321571039119175
1146,0.136192520859016,-0.412486325785063,728,607,608,1127,1053,1331,-0.881281549150284,0.472591611359401,-1.09912079437891e-14,-1.0,0.867330685055733,0.497732340481059
1147,0.150634291759192,-0.384969113387909,836,728,729,1114,1331,1541,-0.88641970283475,0.46288239373123,0.0147746037697601,-0.999890849584817,0.866212566013646,0.49967568530003
1148,0.412872595740475,0.106060606060606,751,633,634,1149,856,1071,-0.501503756751623,-0.865155466932972,1.0,1.09912079437891e-14,-0.501503756751641,0.865155466932961
1149,0.403807661856266,0.090714738649488,751,750,633,1466,624,1148,-0.999415387187136,0.0341889434406328,0.500802950475316,-0.865561323532434,0.501503756751623,0.865155466932972
1150,-0.202366742639099,-0.189086386652541,770,376,533,500,664,1415,0.709944658031303,-0.70425746892228,0.0687999346893899,0.997630477174157,-0.880109633957543,-0.474770504786386
1151,-0.403695908461059,-0.273116579333116,709,708,585,1414,858,1300,0.999949419406022,-0.0100577646402579,-0.471861958146797,0.881672440566149,-0.504958553789371,-0.863143591156736
1152,0.412872595740475,0.227272727272727,755,637,638,1232,951,1264,-0.501503756751626,-0.86515546693297,1.0,7.327471962526041e-15,-0.501503756751636,0.865155466932964
1153,0.201720222862457,0.188369062724503,769,356,513,509,761,1233,-0.708753064745512,0.705456655800939,-0.0785569264943744,-0.996909629454826,0.858977800117936,0.512012830800705
