triID,cx,cy,v1,v2,v3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1677,-0.0119271700701101,0.360270226970728,1010,784,785,998,1510,1678,0.945047006358842,-0.326934482384759,-0.0839143404052982,0.996472971773115,-0.802964632193681,-0.596026676790617
1678,-0.0254189095861137,0.350129377762462,1010,785,997,1677,1377,1673,0.802964632193681,0.596026676790617,-0.921496070988671,0.388387681514801,0.0786634931083887,-0.996901226226544
1679,-0.210757215604066,-0.335106026319094,1057,950,951,1950,1680,1960,-0.83012023118961,0.557584434655155,-0.0676699574259266,-0.997707761251747,0.895850286234009,0.44435601116047
1680,-0.211346837896461,-0.352849050491717,951,950,825,1679,1631,1823,0.0676699574259266,0.997707761251747,-0.860197452301567,-0.509961119158994,0.84081165540253,-0.541327775141141
1681,-0.19575841333547,0.361143809449326,928,790,791,1577,1524,1168,0.838580543587136,-0.544777635294533,0.0458243857389312,0.998949511072331,-0.846161844055388,-0.53292601143572
1682,-0.22567633689587,0.277187740592091,1090,1014,903,2072,1724,1723,-0.807544954906389,0.589806023880087,-0.236064544894392,-0.971737377403897,0.928121558802822,0.372277278497386
1683,0.290417089375135,-0.358531194619391,961,841,842,1717,1478,1684,-0.848259874088954,0.529580197902633,-0.0241554072771892,-0.999708215580563,0.920935379516622,0.38971531501158
1684,0.305335384472069,-0.350143358684093,961,842,985,1683,1602,1903,-0.920935379516622,-0.38971531501158,0.86328091928494,-0.504723740672608,0.103141258034151,0.994666718499786
1685,-0.334997936891355,-0.242858269869166,1031,944,945,1803,1686,1912,0.526668356731942,0.85007084529307,-0.999502999586412,-0.0315238610859435,0.563006179689736,-0.826452685657908
1686,-0.35188410048584,-0.242930148118044,945,944,816,1685,1430,1465,0.999502999586412,0.0315238610859435,-0.52981324647238,0.84811433419227,-0.525210423698078,-0.850972391349382
1687,0.227431982495274,-0.360946833534368,959,839,840,1754,1374,1650,-0.857559139645511,0.514385382772928,0.0228218254800661,-0.999739548223315,0.849221024723565,0.528037547119008
1688,0.259588948481697,-0.326409782639536,1037,960,1038,1844,1642,1942,-0.797333048130263,-0.603539568180333,0.84796888093578,-0.530046014006823,-0.136448445983342,0.990647173108938
1689,-0.134816636041901,-0.356344986312508,953,827,828,1690,1499,1580,-0.886180162973431,0.463340823533156,0.0597765738152501,-0.998211781749199,0.875438208331762,0.483330056372325
1690,-0.149723117725829,-0.34795268036086,953,952,827,885,1470,1689,-0.0898996259546465,0.995950830740762,-0.890076373631114,-0.455811418355975,0.886180162973431,-0.463340823533156
1691,0.242911490956,0.334389297253044,1022,919,920,1969,1581,1982,0.81872456788369,-0.574186452246711,0.0230146428723362,0.999735128028149,-0.858665570808487,-0.512536279211661
1692,0.329823251833092,0.307289998779831,1071,976,986,1920,1583,1900,-0.536300061340882,-0.844027395411882,0.999245802729445,-0.0388307317415765,-0.312024987239631,0.950073895725016
1693,0.321328112134242,0.0372293356998074,998,657,882,1516,1443,433,0.367502669431263,0.930022466374278,-0.988788998208094,-0.14931951320117,0.639399064685791,-0.768875045816247
1694,0.349999807935139,0.0257867501856274,998,1012,857,433,1399,1129,-0.997107508211418,-0.0760040595522122,0.591492733364194,-0.806310328829635,0.399011339320866,0.916945991372103
1695,-0.320378657480328,-0.359609992696745,947,821,822,1637,1496,1696,-0.896862523403907,0.442309409931076,0.0469559296887818,-0.998896961987102,0.854915408603344,0.518767427786843
1696,-0.306174188549905,-0.349629855227229,947,822,948,1695,1644,1812,-0.854915408603344,-0.518767427786843,0.916498501419376,-0.400038119303696,-0.0603729978943944,0.998175886868263
1697,-0.357043685430502,-0.134115426283549,941,812,813,1698,1254,1774,0.443978919703412,0.896037230732625,-0.999995150417978,0.00311434431711023,0.445471784642425,-0.89529597848281
1698,-0.347325102409059,-0.119004021971975,941,940,812,1856,1453,1697,0.999998005262339,-0.00199736610160368,-0.493370911260038,0.869819029409244,-0.443978919703412,-0.896037230732625
1699,0.165932157235938,-0.322503579660063,1036,1051,957,1354,1573,1373,0.401392643713388,0.915906079012896,-0.931486458207476,-0.363776000000127,0.737716097913954,-0.675111071512391
1700,0.18034059839434,-0.350403271879609,958,957,838,1373,1480,1753,0.14148165977206,0.989940876996269,-0.866949516363091,-0.498395963143565,0.831273961141895,-0.555862934119071
1701,0.227360795076157,0.360131897260441,920,776,777,1581,1551,1702,0.852140063723797,-0.523313779483021,0.00316555922763263,0.999994989604836,-0.853982334127373,-0.520302001724349
1702,0.211708006334742,0.351763429008719,920,777,921,1701,1552,1981,0.853982334127373,0.520302001724349,-0.853149618411254,0.521666300047006,-0.0202521036501144,-0.999794905116917
1703,0.165215403580775,-0.290231468580618,1051,912,897,1354,1563,1909,0.399445722819571,-0.916756845909072,0.605262021872308,0.796026309162609,-0.987458577522259,0.157878300211637
1704,0.134149648687697,-0.317536493098267,1080,956,1051,1862,1573,1910,-0.853945842795329,-0.520361890968752,0.86628138177636,-0.499556370780756,-0.00462572105910502,0.999989301295111
1705,-0.289441516905923,0.113446605991109,1064,1077,1116,1986,1548,1067,-0.383997453518041,0.923334151697889,-0.603782893526933,-0.797148805107456,0.999587105798592,0.0287335678466025
1706,-0.32766120160813,0.151216498725245,1046,937,938,1884,1816,1800,0.355138193311722,0.93481381229167,-0.997347867681457,-0.0727820776788614,0.525036086700916,-0.851079965491956
1707,-0.321725818118192,-0.0366696665614412,999,649,879,1656,1497,1708,-0.348891258394266,-0.937163214075364,0.991447554644755,0.130505733165006,-0.626034489228177,0.779795369502035
1708,-0.332328800197225,-0.0227265066466404,999,879,1009,1707,1498,1655,0.626034489228177,-0.779795369502035,0.344290726862842,0.938863086608615,-0.997916138454867,-0.0645242637410624
1709,0.333824585956369,-0.180985117564406,1041,966,967,1964,1670,1826,-0.491709197449912,-0.870759476057059,0.99330993993035,0.115478843237906,-0.620497795434574,0.784208190381122
1710,0.360406787219171,-0.22768901627844,965,848,849,1518,1226,1666,-0.539882554485546,-0.841740356263237,0.99983794597264,-0.0180022718903141,-0.501503756751625,0.865155466932971
1711,0.335880309075701,-0.0242591724452035,983,878,1001,1712,1575,214,0.023596347679924,0.999721567425735,-0.757415660792259,-0.652933010948769,0.95821667173318,-0.286043370859363
1712,0.336321717989075,-0.00738713845438968,983,1012,878,1659,1400,1711,0.969962422778391,0.243254801387095,-0.713572802742518,0.700581083948309,-0.023596347679924,-0.999721567425735
1713,0.0256820370709768,-0.349090449147291,1011,833,1000,1635,1078,1525,-0.791316991427975,-0.611406099967426,0.923117949191838,-0.384516907144349,-0.0360283088717695,0.999350769729948
1714,-0.00322292736512474,-0.352863094628881,1011,982,832,1766,1526,1635,-0.265520322888346,0.964105262994279,-0.800996451281228,-0.598669094771795,0.957429649908843,-0.288666703094467
1715,-0.250480546400265,0.201844718845447,901,651,872,1671,452,1258,-0.959516641223419,-0.281651939839456,0.788201088329045,-0.615417780338616,0.137830002201345,0.990455900327307
1716,-0.272334388604905,0.176027103023093,902,898,651,1883,1229,1671,-0.837119061297022,-0.547020728321325,0.795913392000409,-0.605410499111473,0.133325101455557,0.991072357258473
1717,0.27550379334545,-0.350059340059255,960,841,961,1459,1683,1642,-0.852955415558559,-0.521983772802685,0.848259874088954,-0.529580197902633,-0.10050934122909,0.994936114695659
1718,0.226533994583653,-0.327367669833445,1058,959,1037,1907,1844,1941,-0.825276438005254,-0.564728962311444,0.837275799272581,-0.546780793328058,0.0810773502719833,0.996707812386797
1719,-0.359651723109427,0.258938044493655,934,799,800,1396,1565,1764,0.527359926710653,0.849641987957125,-0.999234796376014,0.0391129353460592,0.514755104967158,-0.857337262639535
1720,-0.334522919941768,0.242834335206798,1028,934,935,1878,1764,1759,0.567717606795578,0.823223371226972,-0.999689252745899,0.0249278547882889,0.510761514857605,-0.859722440640213
1721,0.333153128762434,0.352769537149905,917,1006,773,1722,1410,1661,0.118180258433972,-0.992992158335845,0.90217774098425,0.431364490509541,-0.877390944209941,0.479776125936242
1722,0.335131069298463,0.336120375836285,986,1006,917,1834,1721,1900,0.976808016678544,-0.214117020697863,-0.118180258433972,0.992992158335845,-0.733873441877742,-0.679286221931902
1723,-0.207736153366893,0.283955234797582,1090,903,904,1682,1651,1842,-0.928121558802822,-0.372277278497386,0.710371485261884,-0.70382693393108,0.035973197821687,0.999352755056232
1724,-0.231490699194707,0.260238009538483,1014,980,903,2021,1599,1682,-0.99847010991338,0.0552941191227716,0.617228083324166,-0.786784273582013,0.236064544894392,0.971737377403897
1725,-0.328413030595028,-0.149480536640615,1048,941,942,1773,1774,1976,0.505720241655747,0.862697535164934,-0.996370632785117,0.0851208677316253,0.312963016777567,-0.949765313185044
1726,-0.272981655561058,-0.175491549738302,915,664,900,1253,498,1916,0.0964121050172904,-0.995341502202202,0.856011455482835,0.516956853211328,-0.796020302917352,0.605269921062799
1727,-0.07289114239537,0.3575748432718,995,786,787,1728,1446,1508,0.914202770162556,-0.405257072766299,-0.0183260148081667,0.999832064489457,-0.841595023390843,-0.540109078431169
1728,-0.0563776659262972,0.348649729809754,995,997,786,1436,1377,1727,0.0425115511625994,-0.999095975378617,0.824212037685963,0.566281305477722,-0.914202770162556,0.405257072766299
1729,0.359920860333614,-0.31966019031285,962,845,846,1730,1475,1590,-0.469636451455274,-0.882859900247201,0.999218367626832,0.0395304161016422,-0.499695888356641,0.866200911543891
1730,0.352242102623203,-0.333565925575466,1005,845,962,1589,1729,1828,0.438835393936626,-0.898567469380283,0.469636451455274,0.882859900247201,-0.992090108155187,-0.125527755100734
1731,0.0730231951491048,0.357938757613612,991,781,782,1382,595,1757,0.839599051401054,-0.543206620805058,0.0514589178634005,0.998675112222352,-0.927749527193888,-0.373203449597558
1732,0.0437970214422173,0.36039248271839,1003,782,783,1757,488,1758,0.833865894151592,-0.551967091927377,0.105387855005241,0.994431194209732,-0.938376054290664,-0.345615943981009
1733,0.330909945496807,-0.307166036058257,1069,962,963,1896,1590,1797,-0.308896370076444,-0.951095701048847,0.997921646945612,0.0644390142488045,-0.515400009150393,0.856949724644203
1734,0.254362927033777,-0.276949512713573,1124,1018,1103,1989,2015,1990,-0.262572360842652,0.964912304472026,-0.800145080055473,-0.599806511187583,0.953142120347545,-0.30252288908343
1735,0.334859779581333,0.242916479327808,1043,974,975,1645,1808,1647,-0.52692237797732,-0.849913411817184,0.999592840493774,0.0285333705262756,-0.58742769466318,0.809276654514822
1736,0.317385558019629,0.0707209081247658,994,886,657,1779,1468,1516,0.439013727700625,0.89848035420392,-0.993274359312118,-0.115784485718519,0.588613798930811,-0.80841437129002
1737,-0.0860573448355048,-0.327891890322535,954,990,891,1500,1144,1869,-0.0300821420463807,-0.999547429955128,0.916289244071426,0.400517192139132,-0.822547378123666,0.56869658935313
1738,-0.14703763233523,-0.286105006006897,1066,894,1049,2054,1469,1944,0.284994156339622,0.958529254040933,-0.985007182463977,-0.172513334250941,0.724947257548539,-0.688804379902489
1739,0.13485349736705,0.356661465371982,923,779,780,1775,1381,1776,0.883660808597185,-0.468127734010033,-0.00135493023904799,0.999999082081602,-0.896856729081553,-0.44232115877622
1740,0.150803306959563,0.327584638838084,1047,922,923,1924,1775,1931,0.949514546120008,-0.31372300952674,-0.0732833517299057,0.997311160250015,-0.846679701423525,-0.532102887792738
1741,0.228515195838591,0.228059751328956,977,874,869,1648,1346,1742,-0.26093343062705,0.965356796620399,-0.695458703177962,-0.718566066673085,0.963881933368836,-0.266329905427753
1742,0.247283395968938,0.221356359747289,977,869,907,1741,1146,1858,-0.963881933368836,0.266329905427753,0.0936921086181825,-0.995601219757529,0.776181263470957,0.630509830404435
1743,-0.353451693465068,0.0292891954880635,981,1002,807,1756,1413,1164,0.958207473169771,-0.286074183318948,-0.347179734915902,0.937798609331302,-0.538813437025297,-0.842425118382035
1744,-0.353692860511671,0.00256339527734593,981,808,1009,1164,1512,1755,-0.570144384621615,0.821544509253418,-0.331882734070003,-0.943320651118282,0.969951138899122,0.243299790686913
1745,-0.0369455549560317,-0.322655049228881,1004,884,662,1746,1457,1458,0.659796648118736,-0.751444198281736,0.201083080576933,0.979574190506105,-0.962242354629245,-0.272194142033892
